X Position,Y Position,Deviation from GR,Deviation from DGQG,P-Value,Confidence Level,New Physics Evidence,Systematic Error Likelihood
-5.0,-5.0,-2.6926934318420684e-13,-2.6934003025876455e-13,0.48557838558910726,0.5144216144108927,False,False
-4.96078431372549,-5.0,-3.298879651302525e-13,-3.3010096442021566e-13,0.4855783855891047,0.5144216144108953,False,False
-4.921568627450981,-5.0,-4.0628753561679875e-13,-4.0669511106280133e-13,0.4855783855891016,0.5144216144108984,False,False
-4.882352941176471,-5.0,-4.966624654313156e-13,-4.973234435723687e-13,0.4855783855890978,0.5144216144109022,False,False
-4.8431372549019605,-5.0,-6.066206519742162e-13,-6.075976569361833e-13,0.4855783855890933,0.5144216144109067,False,False
-4.803921568627451,-5.0,-7.395056529704919e-13,-7.408606237442829e-13,0.4855783855890877,0.5144216144109123,False,False
-4.764705882352941,-5.0,-8.994636262327615e-13,-9.012512682179459e-13,0.48557838558908106,0.5144216144109189,False,False
-4.7254901960784315,-5.0,-1.0916094352625464e-12,-1.0938683095997894e-12,0.48557838558907307,0.5144216144109269,False,False
-4.686274509803922,-5.0,-1.322859140552998e-12,-1.325600198669551e-12,0.4855783855890634,0.5144216144109366,False,False
-4.647058823529412,-5.0,-1.6007322876307562e-12,-1.603924826206595e-12,0.48557838558905186,0.5144216144109481,False,False
-4.607843137254902,-5.0,-1.9342160407960857e-12,-1.9377712939139763e-12,0.485578385589038,0.514421614410962,False,False
-4.568627450980392,-5.0,-2.3334589055452635e-12,-2.337211812848272e-12,0.48557838558902133,0.5144216144109787,False,False
-4.529411764705882,-5.0,-2.8104813779762556e-12,-2.8141714720322233e-12,0.48557838558900146,0.5144216144109985,False,False
-4.490196078431373,-5.0,-3.3793029145212114e-12,-3.3825557522158622e-12,0.4855783855889778,0.5144216144110222,False,False
-4.450980392156863,-5.0,-4.057326798789787e-12,-4.059637906400576e-12,0.4855783855889496,0.5144216144110504,False,False
-4.411764705882353,-5.0,-4.86559683204562e-12,-4.866320716565071e-12,0.485578385588916,0.514421614411084,False,False
-4.372549019607844,-5.0,-5.8232053215262545e-12,-5.821552683593785e-12,0.4855783855888761,0.5144216144111239,False,False
-4.333333333333333,-5.0,-6.9612012334132085e-12,-6.956248046878411e-12,0.4855783855888287,0.5144216144111713,False,False
-4.294117647058823,-5.0,-8.306941181949142e-12,-8.297653712729007e-12,0.48557838558877264,0.5144216144112274,False,False
-4.254901960784314,-5.0,-9.898084569685455e-12,-9.883364607247137e-12,0.4855783855887065,0.5144216144112935,False,False
-4.215686274509804,-5.0,-1.1774681166293932e-11,-1.1753435635090492e-11,0.4855783855886283,0.5144216144113717,False,False
-4.176470588235294,-5.0,-1.3986659997599589e-11,-1.3957898591955163e-11,0.4855783855885363,0.5144216144114637,False,False
-4.137254901960784,-5.0,-1.658727475985266e-11,-1.6550238187487134e-11,0.48557838558842803,0.514421614411572,False,False
-4.098039215686274,-5.0,-1.9641744301360326e-11,-1.9596064015040032e-11,0.4855783855883008,0.5144216144116992,False,False
-4.0588235294117645,-5.0,-2.3221949209479224e-11,-2.3167837056960236e-11,0.4855783855881518,0.5144216144118482,False,False
-4.019607843137255,-5.0,-2.7412033468121655e-11,-2.735049643502661e-11,0.4855783855879774,0.5144216144120226,False,False
-3.980392156862745,-5.0,-3.230761242519721e-11,-3.224068357536806e-11,0.48557838558777355,0.5144216144122264,False,False
