X Position,Y Position,GR Shear Correlation,DGQG Shear Correlation,Deviation from GR,Deviation from DGQG
-5.0,-5.0,2.723126248032161e-13,2.723833118777738e-13,-2.6926934318420684e-13,-2.6934003025876455e-13
-4.96078431372549,-5.0,3.3360209043173747e-13,3.338150897217006e-13,-3.298879651302525e-13,-3.3010096442021566e-13
-4.921568627450981,-5.0,4.0805728559394366e-13,4.0846486103994624e-13,-4.0628753561679875e-13,-4.0669511106280133e-13
-4.882352941176471,-5.0,4.983617229760984e-13,4.990227011171515e-13,-4.966624654313156e-13,-4.973234435723687e-13
-4.8431372549019605,-5.0,6.077138987502803e-13,6.086909037122474e-13,-6.066206519742162e-13,-6.075976569361833e-13
-4.803921568627451,-5.0,7.399193435369756e-13,7.412743143107666e-13,-7.395056529704919e-13,-7.408606237442829e-13
-4.764705882352941,-5.0,8.994977548150733e-13,9.012853968002577e-13,-8.994636262327615e-13,-9.012512682179459e-13
-4.7254901960784315,-5.0,1.0918074168636648e-12,1.0940662912009077e-12,-1.0916094352625464e-12,-1.0938683095997894e-12
-4.686274509803922,-5.0,1.3231893882994325e-12,1.3259304464159854e-12,-1.322859140552998e-12,-1.325600198669551e-12
-4.647058823529412,-5.0,1.6011342366635664e-12,1.6043267752394052e-12,-1.6007322876307562e-12,-1.603924826206595e-12
-4.607843137254902,-5.0,1.9344744251522065e-12,1.938029678270097e-12,-1.9342160407960857e-12,-1.9377712939139763e-12
-4.568627450980392,-5.0,2.333605809035835e-12,2.337358716338843e-12,-2.3334589055452635e-12,-2.337211812848272e-12
-4.529411764705882,-5.0,2.8107420787863423e-12,2.81443217284231e-12,-2.8104813779762556e-12,-2.8141714720322233e-12
-4.490196078431373,-5.0,3.380206393206531e-12,3.3834592309011818e-12,-3.3793029145212114e-12,-3.3825557522158622e-12
-4.450980392156863,-5.0,4.058764878196832e-12,4.061075985807621e-12,-4.057326798789787e-12,-4.059637906400576e-12
-4.411764705882353,-5.0,4.8660071238449074e-12,4.866731008364358e-12,-4.86559683204562e-12,-4.866320716565071e-12
-4.372549019607844,-5.0,5.8247792922113176e-12,5.823126654278848e-12,-5.8232053215262545e-12,-5.821552683593785e-12
-4.333333333333333,-5.0,6.96167594760603e-12,6.956722761071233e-12,-6.9612012334132085e-12,-6.956248046878411e-12
-4.294117647058823,-5.0,8.307597236453042e-12,8.298309767232907e-12,-8.306941181949142e-12,-8.297653712729007e-12
-4.254901960784314,-5.0,9.898378570108065e-12,9.883658607669747e-12,-9.898084569685455e-12,-9.883364607247137e-12
-4.215686274509804,-5.0,1.1775500495109132e-11,1.1754254963905692e-11,-1.1774681166293932e-11,-1.1753435635090492e-11
-4.176470588235294,-5.0,1.3986886963885338e-11,1.3958125558240911e-11,-1.3986659997599589e-11,-1.3957898591955163e-11
-4.137254901960784,-5.0,1.6587800736051518e-11,1.655076416368599e-11,-1.658727475985266e-11,-1.6550238187487134e-11
-4.098039215686274,-5.0,1.9641845135670007e-11,1.9596164849349713e-11,-1.9641744301360326e-11,-1.9596064015040032e-11
-4.0588235294117645,-5.0,2.3222081851195777e-11,2.316796969867679e-11,-2.3221949209479224e-11,-2.3167837056960236e-11
-4.019607843137255,-5.0,2.7412274878411724e-11,2.735073784531668e-11,-2.7412033468121655e-11,-2.735049643502661e-11
-3.980392156862745,-5.0,3.230827105688874e-11,3.224134220705959e-11,-3.230761242519721e-11,-3.224068357536806e-11
-3.9411764705882355,-5.0,3.801952791985171e-11,3.795049982219016e-11,-3.801923232180757e-11,-3.795020422414602e-11
-3.9019607843137254,-5.0,4.4670799746428044e-11,4.460444128704925e-11,-4.46704209797694e-11,-4.4604062520390605e-11
-3.8627450980392157,-5.0,5.240399275284191e-11,5.234672456107871e-11,-5.2403737938559073e-11,-5.2346469746795875e-11
