Frequency (Hz),Total White Hole SGWB,Anisotropic SGWB
9.999999999999999e-05,9.900498337491682e-14,4.950249168745842e-15
0.00010280732238308646,9.495089496834507e-14,4.747544748417254e-15
0.00010569345535579884,9.10620970298308e-14,4.55310485149154e-15
0.00010866061138545968,8.73318606603213e-14,4.366593033016065e-15
0.00011171106505048242,8.375373075661235e-14,4.187686537830618e-15
0.0001148471547840289,8.032151487263765e-14,4.016075743631883e-15
0.00011807128466661904,7.702927253388143e-14,3.8514636266940715e-15
0.00012138592626906277,7.387130498648576e-14,3.693565249324288e-15
0.00012479362054713115,7.084214536336509e-14,3.5421072681682547e-15
0.00012829697978941474,6.793654925036893e-14,3.396827462518447e-15
0.00013189868961986705,6.514948563621401e-14,3.257474281810701e-15
0.00013560151105656334,6.247612823057938e-14,3.123806411528969e-15
0.00013940828262825784,5.99118471353831e-14,2.9955923567691553e-15
0.0001433219225503574,5.745220085487722e-14,2.8726100427438613e-15
0.00014734543096198358,5.509292863077468e-14,2.754646431538734e-15
0.00015148189222583458,5.2829943089189085e-14,2.6414971544594545e-15
0.0001557344772926135,5.065932318670005e-14,2.5329661593350026e-15
0.00016010644613183178,4.8577307443378204e-14,2.4288653721689104e-15
0.00016460115023085497,4.658028745109476e-14,2.3290143725547382e-15
0.0001692220351641037,4.466480164591797e-14,2.2332400822958984e-15
0.0001739726432343801,4.282752933385377e-14,2.1413764666926888e-15
0.0001788566161883462,4.106528495962338e-14,2.053264247981169e-15
0.0001838776980082327,3.9375012608592974e-14,1.968750630429649e-15
0.00018903973778192212,3.7753780732369e-14,1.88768903661845e-15
0.000194346692653602,3.6198777088962355e-14,1.809938854448118e-15
0.00019980263085725506,3.470730388879087e-14,1.7353651944395434e-15
0.00020541173483530642,3.327677313814863e-14,1.6638386569074314e-15
0.00021117830444482443,3.190470217210717e-14,1.5952351086053588e-15
0.0002171067602537265,3.058870936914464e-14,1.529435468457232e-15
0.00022320164692952345,2.9326510040108014e-14,1.4663255020054007e-15
0.0002294676367231936,2.8115912484418733e-14,1.4057956242209368e-15
0.00023590953305086364,2.6954814206716285e-14,1.3477407103358143e-15
0.0002425322741760353,2.5841198287414872e-14,1.2920599143707438e-15
0.00024934093699518806,2.4773129900910418e-14,1.238656495045521e-15
