Multipole Moment (l),White Hole Detection Ratio
10.0,2.029438974409492e-05
15.991983967935873,0.00010299774373639554
21.983967935871746,0.0003530168664204486
27.975951903807616,0.0009833612944578228
33.96793587174349,0.0024010782337355995
39.95991983967936,0.0053399661082118586
45.95190380761523,0.011059595111247903
51.943887775551104,0.021631080001932552
57.93587174348698,0.040329983708482724
63.92785571142285,0.07215280106425039
69.91983967935872,0.12446390885674702
75.9118236472946,0.20776295709933668
81.90380761523046,0.33653713503235466
87.89579158316634,0.5301281905805294
93.88777555110221,0.8135015252706321
99.87975951903809,1.2177569771331227
105.87174348697395,1.7801730418704864
111.86372745490982,2.5435355678012543
117.8557114228457,3.5544780286490756
123.84769539078157,4.860565371036424
129.83967935871743,6.505901892300104
135.8316633266533,8.525153641976075
141.8236472945892,10.936069089839897
147.81563126252507,13.730881955299882
153.80761523046093,16.867405811969633
159.7995991983968,20.261176769911412
165.79158316633269,23.780605573699894
171.78356713426854,27.247594222309058
177.77555110220442,30.44613905639905
183.7675350701403,33.14065100353261
189.75951903807618,35.10371087955827
195.75150300601203,36.149813195626606
201.7434869739479,36.16822520038826
207.7354709418838,35.14610284753609
213.72745490981964,33.17419280867506
219.71943887775552,30.432214983205206
225.7114228456914,27.157605034697575
231.70340681362728,23.60654066036308
237.69539078156313,20.017583578559215
243.687374749499,16.58565546878237
249.6793587174349,13.449369727550968
255.67134268537075,10.69041868520273
261.6633266533066,8.341253437467872
267.6553106212425,6.396823647531318
273.6472945891784,4.826968620046808
279.63927855711427,3.587333339029909
285.63126252505015,2.627853297378932
291.62324649298597,1.8986705267440351
297.61523046092185,1.35379846577275
303.60721442885773,0.9530344443210021
309.5991983967936,0.6626314542782141
315.5911823647295,0.45517005612067696
321.58316633266537,0.30897171580497157
327.57515030060125,0.2072968666760313
333.5671342685371,0.13748816795715674
339.55911823647295,0.09015569111996966
345.55110220440883,0.05845509722249454
351.5430861723447,0.03747923782245825
357.5350701402806,0.02376452173310034
363.5270541082165,0.014902620837167703
369.51903807615236,0.00924298485801931
375.5110220440882,0.005670155289051349
381.50300601202406,0.0034405265196389948
387.49498997995994,0.00206497026271193
393.4869739478958,0.0012259459725648106
399.4789579158317,0.0007199553621355688
405.4709418837676,0.00041823777410673484
411.46292585170346,0.00024034219098210507
417.4549098196393,0.00013662512684811895
423.44689378757516,7.682966013973798e-05
429.43887775551104,4.2739394363282636e-05
435.4308617234469,2.3519699001706265e-05
441.4228456913828,1.2803876953427852e-05
447.4148296593187,6.895402000869567e-06
453.40681362725456,3.673565437856087e-06
459.3987975951904,1.9360988629011155e-06
465.39078156312627,1.0094390254749308e-06
471.38276553106215,5.206507895405644e-07
477.374749498998,2.656609758039801e-07
483.3667334669339,1.3409869953237864e-07
489.3587174348698,6.696341652063533e-08
495.35070140280567,3.308014782022253e-08
501.3426853707415,1.616644616966052e-08
507.3346693386774,7.815906696490754e-09
513.3266533066133,3.738197126298763e-09
519.3186372745491,1.7687373298303942e-09
525.310621242485,8.279098018384323e-10
531.3026052104209,3.833729176458001e-10
537.2945891783568,1.7562191119345618e-10
543.2865731462927,7.958934507758236e-11
549.2785571142285,3.568208205174623e-11
555.2705410821644,1.5825757013082606e-11
561.2625250501003,6.943810124430302e-12
567.2545090180361,3.0140480372497283e-12
573.2464929859719,1.2942596359784962e-12
579.2384769539078,5.49808468289838e-13
585.2304609218437,2.310574932506613e-13
591.2224448897796,9.606099828461081e-14
597.2144288577155,3.950865830232827e-14
603.2064128256513,1.607515997290465e-14
609.1983967935872,6.470469441754575e-15
615.1903807615231,2.5765187284632316e-15
621.182364729459,1.0149562625235484e-15
627.1743486973949,3.955280237096307e-16
633.1663326653307,1.5248333947110042e-16
639.1583166332666,5.815431080081774e-17
645.1503006012025,2.1940921248913356e-17
651.1422845691383,8.18917434377693e-18
657.1342685370741,3.0236839178886925e-18
663.12625250501,1.1044400884931768e-18
669.1182364729459,3.9907604830198123e-19
675.1102204408818,1.4265100059324956e-19
681.1022044088177,5.044257086783891e-20
687.0941883767536,1.7644931888472253e-20
693.0861723446894,6.1057608891792904e-21
699.0781563126253,2.0900307927874158e-21
705.0701402805612,7.07707831957367e-22
711.0621242484971,2.370490559878893e-22
717.054108216433,7.854143514695286e-23
723.0460921843688,2.5741155797849782e-23
729.0380761523047,8.344813139358234e-24
735.0300601202405,2.6757992189973663e-24
741.0220440881764,8.486440666251395e-25
747.0140280561122,2.6620548344457525e-25
753.0060120240481,8.258645647628417e-26
758.997995991984,2.5338349102061504e-26
764.9899799599199,7.687728462870294e-27
770.9819639278558,2.3064016854292516e-27
776.9739478957916,6.841465878887176e-28
782.9659318637275,2.0062844569649806e-28
788.9579158316634,5.815763513831374e-29
794.9498997995993,1.6661782255325163e-29
800.9418837675352,4.716844837924966e-30
806.933867735471,1.319150869038131e-30
812.9258517034069,3.643563862525167e-31
818.9178356713428,9.935706179893453e-32
824.9098196392786,2.6738296398105174e-32
830.9018036072144,7.097735581925813e-33
836.8937875751503,1.8574071631136237e-33
842.8857715430862,4.788541841290148e-34
848.8777555110221,1.215263408804453e-34
854.869739478958,3.0333597417434606e-35
860.8617234468938,7.439339842166046e-36
866.8537074148297,1.790745722465569e-36
872.8456913827656,4.225982134429871e-37
878.8376753507015,9.765887394562736e-38
884.8296593186374,2.2074812047892346e-38
890.8216432865732,4.87570895894985e-39
896.8136272545091,1.0513847095701988e-39
902.805611222445,2.212063214994944e-40
908.7975951903808,4.539376980515198e-41
914.7895791583167,9.085328128471734e-42
920.7815631262525,1.7739553729853846e-42
926.7735470941884,3.3808737967238373e-43
932.7655310621243,6.293849170416673e-44
938.7575150300602,1.14546868589173e-44
944.749498997996,2.0400472624079495e-45
950.7414829659319,3.558803392371248e-46
956.7334669338678,6.086623806230338e-47
962.7254509018037,1.0214809812522449e-47
968.7174348697396,1.6834496638113274e-48
974.7094188376755,2.7263325550459687e-49
980.7014028056113,4.3412733790460905e-50
986.6933867735472,6.800267784799336e-51
992.685370741483,1.048287283740237e-51
998.6773547094189,1.590827707794313e-52
1004.6693386773547,2.3772254657639085e-53
1010.6613226452906,3.498766509017342e-54
1016.6533066132265,5.072603203779503e-55
1022.6452905811624,7.245638071762978e-56
1028.6372745490983,1.0197603419687307e-56
1034.629258517034,1.4142663436769676e-57
1040.62124248497,1.9328750508329875e-58
1046.6132264529058,2.6033791187263035e-59
1052.6052104208418,3.4558012085054625e-60
1058.5971943887776,4.521167227209185e-61
1064.5891783567135,5.829786834594597e-62
1070.5811623246493,7.409050707279899e-63
1076.5731462925853,9.280812196679831e-64
1082.565130260521,1.1458488100979555e-64
1088.557114228457,1.3944082202661928e-65
1094.5490981963928,1.6725396595312745e-66
1100.5410821643288,1.9773738921012776e-67
1106.5330661322646,2.304244796229672e-68
1112.5250501002006,2.6466537155962156e-69
1118.5170340681364,2.996369107376202e-70
1124.5090180360721,3.3436744847943607e-71
1130.5010020040081,3.677763841167675e-72
1136.4929859719439,3.987268002043356e-73
1142.4849699398799,4.260879548763302e-74
1148.4769539078156,4.488030209695489e-75
