Time,Metric Function,Energy Density
1.0,1.0,1.0
1.1998399679935987,1.0000000018650204,0.8331018918536304
1.3996799359871974,1.000000003730041,0.7137084382283714
1.5995199039807961,1.0000000055950613,0.6251019954225266
1.7993598719743948,1.0000000074600819,0.5560771720062265
1.9991998399679936,1.0000000093251022,0.5002177812246977
2.1990398079615923,1.0000000111901228,0.4546224229710624
2.3988797759551908,1.0000000130551434,0.41657842019742397
2.5987197439487897,1.0000000149201638,0.38453607748398727
2.7985597119423886,1.0000000167851844,0.3572127668930495
2.998399679935987,1.0000000186502047,0.33356822305747735
3.1982396479295856,1.0000000205152253,0.3128045431807076
3.3980796159231845,1.0000000223802457,0.2943661870367469
3.5979195839167835,1.000000024245266,0.2779399769701715
3.797759551910382,1.0000000261102866,0.26328371265870004
3.9975995199039804,1.0000000279753072,0.2500564410754811
4.197439487897579,1.0000000298403275,0.23809229633073803
4.397279455891178,1.000000031705348,0.22724097869481485
4.597119423884777,1.0000000335703685,0.21736546388600597
4.796959391878375,1.0000000354353888,0.2083420030705564
4.996799359871974,1.0000000373004092,0.20006012286266156
5.196639327865573,1.0000000391654298,0.19242262532446772
5.396479295859171,1.0000000410304501,0.18534558796607148
5.59631926385277,1.0000000428954705,0.17875836374552012
5.796159231846369,1.0000000447604909,0.1726035810688114
5.995999199839968,1.0000000466255115,0.16683714378989373
6.195839167833567,1.0000000484905318,0.16142823121066602
6.395679135827165,1.0000000503555522,0.15635929808097793
6.595519103820764,1.0000000522205725,0.15161558766295838
6.795359071814363,1.000000054085593,0.14714319388771493
6.995199039807961,1.0000000559506135,0.14291960889697938
7.19503900780156,1.0000000578156338,0.13892861063911222
7.394878975795159,1.0000000596806542,0.1351546989862211
7.594718943788758,1.0000000615456746,0.1315830957341606
7.794558911782357,1.000000063410695,0.1281997446025325
7.994398879775955,1.0000000652757153,0.12499131123468551
8.194238847769554,1.0000000671407356,0.12194518319771537
8.394078815763152,1.000000069005756,0.11904946998246496
8.59391878375675,1.0000000708707764,0.1162930030035241
8.79375875175035,1.0000000727357967,0.1136653355992297
8.993598719743948,1.000000074600817,0.11115674303166576
9.193438687737547,1.0000000764658374,0.10875822248666324
9.393278655731146,1.0000000783308578,0.1064614930738002
9.593118623724745,1.0000000801958782,0.10425899582640172
9.792958591718342,1.0000000820608985,0.10214389370153996
9.992798559711941,1.0000000839259189,0.10011007158003407
10.19263852770554,1.0000000857909392,0.09815213626645028
10.39247849569914,1.0000000876559596,0.0962654164891018
10.592318463692738,1.00000008952098,0.09444596290004903
10.792158431686337,1.0000000913860003,0.09269054807509927
10.991998399679936,1.0000000932510207,0.09099666651380692
11.191838367673535,1.000000095116041,0.08936253463947343
11.391678335667134,1.0000000969810612,0.08778709079914727
11.591518303660731,1.0000000988460815,0.08626999526362401
11.79135827165433,1.000000100711102,0.08480667011204208
11.991198239647929,1.0000001025761223,0.0833898194810583
12.191038207641528,1.0000001044411426,0.08201774747102665
12.390878175635127,1.000000106306163,0.08068882527839213
12.590718143628726,1.0000001081711831,0.07940146334297596
12.790558111622325,1.0000001100362035,0.07815411134797551
12.990398079615922,1.0000001119012238,0.0769452582199644
13.19023804760952,1.0000001137662442,0.07577343212889243
13.39007801560312,1.0000001156312643,0.07463720048808556
13.589917983596719,1.0000001174962847,0.07353516995424603
13.789757951590317,1.000000119361305,0.0724659864274522
13.989597919583916,1.0000001212263252,0.07142833505115868
14.189437887577515,1.0000001230913456,0.07042094021219625
14.389277855571114,1.0000001249563657,0.06944256554077191
14.589117823564713,1.000000126821386,0.06849201391046883
14.78895779155831,1.0000001286864064,0.06756812743824642
14.98879775955191,1.0000001305514266,0.06666978748444026
15.188637727545508,1.000000132416447,0.0657959146527621
15.388477695539107,1.000000134281467,0.06494546879029997
15.588317663532706,1.0000001361464874,0.064117448987518
15.788157631526305,1.0000001380115076,0.06331089357825662
15.987997599519904,1.000000139876528,0.06252488013973238
16.1878375675135,1.000000141741548,0.06175852549253807
16.387677535507102,1.0000001436065684,0.06101098570064263
16.5875175035007,1.0000001454715886,0.06028145607139129
16.787357471494296,1.000000147336609,0.05956917115550538
16.987197439487897,1.000000149201629,0.058873404747082476
17.187037407481494,1.0000001510666494,0.058193469883596374
17.386877375475095,1.0000001529316696,0.057528718845897
17.586717343468692,1.0000001547966897,0.05687854315821056
17.786557311462293,1.00000015666171,0.0562423735881394
17.98639727945589,1.0000001585267302,0.055619680146662104
18.18623724744949,1.0000001603917503,0.05500997208813341
18.386077215443088,1.0000001622567707,0.05441279791028428
18.585917183436685,1.0000001641217908,0.05382774535422189
