Multipole Moment (l),CMB-S4 SNR,LiteBIRD SNR,Simons Observatory SNR
10.0,0.014694709815780714,0.02447486101222587,0.018360516790404808
15.991983967935873,0.023059880975450652,0.038392181988397764,0.028805102278106145
21.983967935871746,0.03567105606052237,0.059364691547678386,0.044546829608803074
27.975951903807616,0.0543923385582513,0.0904849798952276,0.06790895361265746
33.96793587174349,0.08175651192230526,0.13595263565778506,0.10204697492821764
39.95991983967936,0.1211350536367713,0.20135463326583514,0.15115972394693156
45.95190380761523,0.17692132212091388,0.2939669333667579,0.220716552393469
51.943887775551104,0.254714327852891,0.42305632751579375,0.3176849025120778
57.93587174348698,0.36148429395357756,0.6001513216049517,0.45073481767761997
63.92785571142285,0.5056946378265792,0.8392400427109847,0.6303888118156635
69.91983967935872,0.6973489050179844,1.1568431683189633,0.8690779772087298
75.9118236472946,0.9479267012289717,1.5719026057024892,1.1810597023973632
81.90380761523046,1.270171163049431,2.1054243438994793,1.5821505886173044
87.89579158316634,1.6776934124232947,2.779818910745841,2.089231865707597
93.88777555110221,2.1843680140210737,3.617897250374436,2.719495371142315
99.87975951903809,2.803508494581049,4.641504872844111,3.489416941415733
105.87174348697395,3.546833508865673,5.86981280754522,4.413470877674819
111.86372745490982,4.42326122134157,7.317328474389522,5.502632689188063
117.8557114228457,5.437599684094245,8.991739344942612,6.762754795744895
123.84769539078157,6.589231016495323,10.891751536486776,8.192937029105195
129.83967935871743,7.870912692515735,13.005127099024326,9.784045222168057
135.8316633266533,9.267835457663976,15.307149887405444,11.517551012115504
141.8236472945892,10.75707986242732,17.759753244864683,13.364868690343753
147.81563126252507,12.307598771813145,20.311517837421977,15.287346401581459
153.80761523046093,13.88082008832773,22.898692669382903,17.237027539753186
159.7995991983968,15.43191346851235,25.447308613121155,19.158235307924162
165.79158316633269,16.911701019444127,27.876348406068438,20.989954121886157
171.78356713426854,18.26912147683055,30.101821041169863,22.668894129784253
177.77555110220442,19.454088784084885,32.04147600118718,24.133040275195253
183.7675350701403,20.42052870730644,33.61979931686929,25.325416693852937
189.75951903807618,21.129339898016294,34.772873311468345,26.19775163433205
195.75150300601203,21.551015306158256,35.45266594031711,26.713715712333535
201.7434869739479,21.66767934158927,35.63034908050141,26.85143114033295
207.7354709418838,21.474344849015655,35.29832640393843,26.605010490443945
213.72745490981964,20.979266738516355,34.47077207118396,25.984974187654736
219.71943887775552,20.203357332468645,33.182627017221044,25.017505481975785
225.7114228456914,19.17872112574195,31.48715186478253,23.74261641517868
231.70340681362728,17.946452005949947,29.4522752606585,22.211403782167594
237.69539078156313,16.55390346014185,27.15608637177182,20.482657215933
243.687374749499,15.051684035073059,24.681887615824238,18.619132622144082
249.6793587174349,13.490642278319559,22.113241980242744,16.683818338261066
255.67134268537075,11.919087793879344,19.529419070199292,14.736498967831134
261.6633266533066,10.380452117877866,17.001572425797434,12.83086815259691
267.6553106212425,8.911532164061725,14.589879787760658,11.012365702492053
273.6472945891784,7.541389066123356,12.34176281647639,9.316827758006594
279.63927855711427,6.290905677035172,10.291188589436494,7.769952553279682
285.63126252505015,5.172944976207967,8.458955425526398,6.387509007652826
291.62324649298597,4.193005217687094,6.853790018011142,5.176158220049022
297.61523046092185,3.3502391191841316,5.474036785042246,4.134722991325134
303.60721442885773,2.638694224812617,4.3097044375429485,3.255728292917087
309.5991983967936,2.0486378217015737,3.3446457119975572,2.5270436692185445
315.5911823647295,1.567848752490069,2.5586778750216745,1.9334822916699879
321.58316633266537,1.1827855273424623,1.9294963667677492,1.4582450448083393
327.57515030060125,0.8795705859039213,1.4342840706444833,1.0841357817947421
333.5671342685371,0.6447602452492827,1.0509673972659284,0.7945106192890672
339.55911823647295,0.46589565989129567,0.7591125491171609,0.5739559900066641
345.55110220440883,0.3318500873569626,0.5404878763826003,0.4087147750281411
351.5430861723447,0.23300115104884683,0.37933996629271444,0.286896296070218
357.5350701402806,0.1612638616611997,0.2624424626745607,0.19851457745839463
363.5270541082165,0.11002183973348946,0.1789791602614216,0.1354012658690146
369.51903807615236,0.07399180277176098,0.1203188539261515,0.09103657372370172
375.5110220440882,0.049051373593374206,0.07973110177072637,0.060335364716169175
381.50300601202406,0.03205395307584278,0.05208164621191886,0.03941765999660225
387.49498997995994,0.020647852007946138,0.033535477873576996,0.025384732691871234
393.4869739478958,0.013110855151721024,0.02128566163681012,0.016114513869421657
399.4789579158317,0.008206349676969475,0.013317805492230553,0.010083810631174887
405.4709418837676,0.005063279204713472,0.008213741671093703,0.006220066280993331
411.46292585170346,0.0030794743625893193,0.004993582974011907,0.003782058154780354
417.4549098196393,0.0018462230461782341,0.0029925840710549167,0.0022668576609277875
423.44689378757516,0.0010910749919571308,0.001767841431689397,0.001339316311797992
429.43887775551104,0.0006356058620490198,0.001029444919373065,0.0007800185375263118
435.4308617234469,0.0003649925877487656,0.0005909160414616498,0.0004478056290349396
