Frequency (Hz),White Hole B-mode Correlation,Inflationary B-mode Correlation,Cross-Correlation (WH),Cross-Correlation (Inflation)
0.010472251898884344,5.675772417711281e-37,9.906353079835393e-36,9.29246076296953e-55,1.6218831645052656e-53
0.010766241770454932,2.0155006711658897e-37,3.616561252381025e-36,3.0738652118499145e-55,5.515662673427808e-54
0.01106848488549412,6.962947608306386e-38,1.2844880060171113e-36,9.883998625342523e-56,1.8233481565474732e-54
0.01137921293915315,2.3384069921709988e-38,4.434871850386406e-37,3.0869445599376234e-56,5.85449991314844e-55
0.01169866413101307,7.628146735228175e-39,1.4873187766253051e-37,9.356600921291669e-57,1.824328859768645e-55
0.012027083347685121,2.4151017383574714e-39,4.84110498339409e-38,2.7500168873926266e-57,5.512447052035456e-56
0.01236472235053715,7.414891746669457e-40,1.5280512951142886e-38,7.830783146688542e-58,1.613757656601158e-56
0.012711839968690289,2.20573075302542e-40,4.673149391079645e-39,2.1584484557788115e-58,4.572975225087823e-57
0.013068702297433463,6.351748127197164e-41,1.3834850890436713e-39,5.753711021793288e-59,1.2532256074879698e-57
0.013435582902208263,1.769013300108195e-41,3.961287474785446e-40,1.4818914125951878e-59,3.3183458209988586e-58
0.013812763028320095,4.7605687753737876e-42,1.0959434729043021e-40,3.6840653901925183e-60,8.481187035927478e-59
0.014200531816536832,1.2366816905040931e-42,2.9269229488219887e-41,8.831810878891784e-61,2.0902735230556487e-59
0.014599186524739786,3.0981185701076473e-43,7.538335146793611e-42,2.0395785621036723e-61,4.962697976668681e-60
0.015009032755797366,7.477161310687344e-44,1.8704159838747852e-42,4.532561295057467e-62,1.1338226824196142e-60
0.015430384691835646,1.7366777946929848e-44,4.466267742980254e-43,9.682578640319326e-63,2.490098553817969e-61
0.015863565335085896,3.8777333797368125e-45,1.0252446136916395e-43,1.9860988420336933e-63,5.251101457089989e-62
0.016308906755493326,8.314422906132693e-46,2.2599857983642655e-44,3.9073113559470184e-64,1.062066276147002e-62
0.01676675034527699,1.7099662255808342e-46,4.778429467194909e-45,7.363994826218907e-65,2.0578377132520645e-63
0.0172374470806362,3.3692723680284175e-47,9.679609024023275e-46,1.3279566277977027e-65,3.815097016173833e-64
0.017721357790803586,6.352658655263273e-48,1.876295615879427e-46,2.2885017218102117e-66,6.759226302844802e-65
0.01821885343465167,1.1447448920898232e-48,3.4759899015084384e-47,3.764110847225405e-67,1.1429630639563698e-65
0.018730315385064367,1.9689904464375537e-49,6.146635341992344e-48,5.9013139048319064e-68,1.842224510396122e-66
0.019256135721291985,3.22843919393277e-50,1.0361210547717989e-48,8.806950580941278e-69,2.8264639279552766e-67
0.019796717529513324,5.039322977511989e-51,1.662700892096515e-49,1.2493723787808786e-69,4.122245345316865e-68
0.020352475211835776,7.477948133457005e-52,2.5365792336929554e-50,1.6824022227830898e-70,5.706841589255042e-69
0.020923834803969768,1.0534322882497526e-52,3.6736405294176154e-51,2.1473562792155902e-71,7.4884880085957e-70
