Multipole Moment (l),White Hole Detection Ratio (CMB-S4)
10.0,1.0149307216183308e-05
15.991983967935873,5.150142911567196e-05
21.983967935871746,0.00017624760272939312
27.975951903807616,0.0004863728777019773
33.96793587174349,0.001233710103439536
39.95991983967936,0.002651683218173157
45.95190380761523,0.0052853299901102204
51.943887775551104,0.011532457424663103
57.93587174348698,0.01930587012805951
63.92785571142285,0.040042342919144595
69.91983967935872,0.060608029141281744
75.9118236472946,0.1050453959521256
81.90380761523046,0.1952113871847198
87.89579158316634,0.2504908120400562
93.88777555110221,0.5042718083864465
99.87975951903809,0.42542679997129984
105.87174348697395,0.7492850292249611
111.86372745490982,1.9241211263512112
117.8557114228457,2.2082919277068758
123.84769539078157,4.952164789153126
129.83967935871743,2.997177290832448
135.8316633266533,6.1372975414779996
141.8236472945892,3.2549068258001257
147.81563126252507,-112.35828042960665
153.80761523046093,29.790674591954545
159.7995991983968,4.937032074493184
165.79158316633269,20.643764834266516
171.78356713426854,9.668835014173762
177.77555110220442,22.7983748932316
183.7675350701403,22.30396227643797
189.75951903807618,12.33436647132593
195.75150300601203,52.314529499115004
201.7434869739479,12.92586052824096
207.7354709418838,101.470170200794
213.72745490981964,157.44795054636316
219.71943887775552,114.28818265586466
225.7114228456914,225.08839989471863
231.70340681362728,15.513567896764217
237.69539078156313,78.64495977909849
243.687374749499,9.2050479780851
249.6793587174349,13.262093750755048
255.67134268537075,10.002489887752205
261.6633266533066,4.932953946592793
267.6553106212425,-18.060430642920803
273.6472945891784,3.0493429473703033
279.63927855711427,6.915931845329953
285.63126252505015,-14.817449639666014
291.62324649298597,8.308989383405708
297.61523046092185,1.7671501311544113
303.60721442885773,-6.431728373171834
309.5991983967936,-38.9817047987659
315.5911823647295,7.336946139309389
321.58316633266537,0.44060659421140974
327.57515030060125,-0.620682065255832
333.5671342685371,-0.4244005091126055
339.55911823647295,1.7592722374224072
345.55110220440883,0.20626046141683127
351.5430861723447,0.18165259242684084
357.5350701402806,0.3573252480661431
363.5270541082165,0.03193689910312992
369.51903807615236,-0.19616265035804425
375.5110220440882,0.08780674230667938
381.50300601202406,-0.18965388980502138
387.49498997995994,0.027416909179486304
393.4869739478958,0.0189582982352217
399.4789579158317,-0.009063690558051564
405.4709418837676,-0.008079587717273025
411.46292585170346,-0.3997998988462039
417.4549098196393,0.002839581060430055
423.44689378757516,0.003773303014752953
429.43887775551104,0.0009915172759413747
435.4308617234469,-0.0017139800222333917
441.4228456913828,-0.00017618227628409344
447.4148296593187,-0.00010120185894390757
453.40681362725456,-0.0004663703639374761
459.3987975951904,0.0017813717647418186
465.39078156312627,-1.5762573483868764e-05
471.38276553106215,5.4759168437448915e-06
477.374749498998,3.8639609408057045e-05
483.3667334669339,-9.462976537494284e-05
489.3587174348698,-2.4051816966119076e-06
495.35070140280567,-1.4619986784727266e-06
501.3426853707415,-1.710822131457209e-06
507.3346693386774,2.520632842529673e-07
513.3266533066133,2.2803037386163952e-07
519.3186372745491,-1.2874079713794599e-08
525.310621242485,6.506009869002956e-09
531.3026052104209,-1.948422038916881e-08
537.2945891783568,-1.982292114267086e-09
543.2865731462927,-9.147529163221805e-10
549.2785571142285,1.421991358986908e-09
555.2705410821644,-1.6562026157171137e-10
561.2625250501003,-4.618508294624385e-10
567.2545090180361,5.67264698828275e-11
573.2464929859719,-3.873942110332335e-11
579.2384769539078,2.8183392999661808e-12
585.2304609218437,4.460755139549685e-12
591.2224448897796,1.211836520886161e-12
597.2144288577155,-9.691615424617845e-13
603.2064128256513,3.4370149362174257e-13
609.1983967935872,2.4637290214420214e-13
615.1903807615231,2.783076253557313e-14
621.182364729459,1.7812901452496286e-14
627.1743486973949,1.812470159798981e-14
633.1663326653307,-7.906222752000412e-16
639.1583166332666,6.827290392142446e-16
645.1503006012025,-1.240474957709484e-15
651.1422845691383,-8.61911272612938e-17
657.1342685370741,2.302812859975915e-16
663.12625250501,-5.192467342449448e-18
669.1182364729459,2.422763933193721e-18
675.1102204408818,-7.197741646989394e-19
681.1022044088177,4.752405693411129e-19
687.0941883767536,-1.6289453989955234e-19
693.0861723446894,-7.62395986951575e-21
699.0781563126253,-3.207198965469024e-21
705.0701402805612,9.69121140267356e-22
711.0621242484971,-1.835053844498458e-22
717.054108216433,-1.9021605882870374e-22
723.0460921843688,-3.047963718759063e-23
729.0380761523047,-2.2083042999719936e-23
735.0300601202405,-5.1759389271061875e-24
741.0220440881764,-6.6788979951094415e-25
747.0140280561122,-2.4526279602532245e-25
753.0060120240481,3.228503060270402e-26
758.997995991984,-1.2132659003356032e-25
764.9899799599199,1.023988655023963e-26
770.9819639278558,-1.1294770968703621e-27
776.9739478957916,1.468289946681138e-27
782.9659318637275,-2.405653703651883e-29
788.9579158316634,-9.272818010775131e-30
794.9498997995993,2.2169873779962822e-30
800.9418837675352,1.774600621194329e-30
806.933867735471,-1.1488201029237109e-30
812.9258517034069,-2.660762119031936e-31
818.9178356713428,-7.502343518805128e-32
824.9098196392786,2.355951968849335e-32
830.9018036072144,3.579025138789539e-34
836.8937875751503,-1.3788596941358532e-34
842.8857715430862,-1.6332331336246583e-35
848.8777555110221,-8.385540599979553e-35
854.869739478958,4.951863653787329e-37
860.8617234468938,1.5989061261690973e-36
866.8537074148297,7.205545825937094e-38
872.8456913827656,3.2062531401565457e-38
878.8376753507015,-1.8277144665384983e-39
884.8296593186374,-7.989206257184788e-40
890.8216432865732,-5.038881802689657e-41
896.8136272545091,-3.7126488447308717e-41
902.805611222445,4.732962454356954e-42
908.7975951903808,-5.568793314851115e-43
914.7895791583167,6.511096768499736e-42
920.7815631262525,2.334331781623008e-44
926.7735470941884,1.3638963272353183e-45
932.7655310621243,5.540656693640969e-46
938.7575150300602,-7.110037533732533e-47
944.749498997996,5.166581033645161e-47
950.7414829659319,1.8350684192661998e-48
956.7334669338678,-2.1099888465886778e-49
962.7254509018037,-5.1327690811390405e-50
