Multipole Moment (l),White Hole B-mode Anisotropy,Alternative Model B-mode,Inflationary B-mode Spectrum
291.62324649298597,1.8656718572757912e-06,9.124682137066432e-07,7.015190442156563e-08
297.61523046092185,1.4871156662256214e-06,1.0319619483343468e-06,6.651445256536933e-08
303.60721442885773,1.168468733293137e-06,1.1629213337628772e-06,6.312956109813004e-08
309.5991983967936,9.050077562744792e-07,1.305803133077942e-06,5.997531047673683e-08
315.5911823647295,6.90955957141937e-07,1.4609851093145653e-06,5.703205339339362e-08
321.58316633266537,5.200095126058136e-07,1.6287505951926748e-06,5.4282142127688094e-08
327.57515030060125,3.857758792496273e-07,1.809272990688786e-06,5.17096929160046e-08
333.5671342685371,2.8211209744827674e-07,2.0026005319084784e-06,4.930038174821869e-08
339.55911823647295,2.0336265751499915e-07,2.208641707587454e-06,4.704126692809539e-08
345.55110220440883,1.4450523010453437e-07,2.4271517248168917e-06,4.492063449355763e-08
351.5430861723447,1.0121824008924342e-07,2.6577204415503524e-06,4.292786321829988e-08
357.5350701402806,6.98870737436552e-08,2.899762188554212e-06,4.105330643271064e-08
363.5270541082165,4.7566126840348e-08,3.1525078964039154e-06,3.9288188330128154e-08
369.51903807615236,3.191255537958945e-08,3.4149999229181696e-06,3.7624512780401475e-08
375.5110220440882,2.1105139735604725e-08,3.686089942471303e-06,3.605498296965107e-08
381.50300601202406,1.3758710764786488e-08,3.964440210796369e-06,3.4572930433571945e-08
387.49498997995994,8.841584639609233e-09,4.248528457559073e-06,3.3172252260127724e-08
393.4869739478958,5.600739006458448e-09,4.536656585051132e-06,3.1847355412972175e-08
399.4789579158317,3.4972237580093723e-09,4.826963266269727e-06,3.059310727504346e-08
405.4709418837676,2.1526050939350346e-09,5.117440441394568e-06,2.94047916371157e-08
411.46292585170346,1.306075148317118e-09,5.40595361071044e-06,2.8278069462437508e-08
417.4549098196393,7.811507008222514e-10,5.690265717240388e-06,2.7208943849046713e-08
423.44689378757516,4.60536807670135e-10,5.968064306977804e-06,2.6193728688483916e-08
429.43887775551104,2.6764351464533774e-10,6.236991552087545e-06,2.5229020585556213e-08
435.4308617234469,1.5332464261169577e-10,6.494676626341873e-06,2.4311673660282443e-08
441.4228456913828,8.658248701153848e-11,6.738769835885631e-06,2.343877690164692e-08
447.4148296593187,4.819600163034315e-11,6.966977835527521e-06,2.260763378451712e-08
453.40681362725456,2.644568514320486e-11,7.1770992041482515e-06,2.1815743897064506e-08
459.3987975951904,1.4304131508162596e-11,7.3670596150612175e-06,2.106078635711969e-08
465.39078156312627,7.626600966094878e-12,7.5349458202355305e-06,2.034060482281268e-08
471.38276553106215,4.00832947802845e-12,7.679037672490224e-06,1.9653193926202013e-08
477.374749498998,2.0766277812411603e-12,7.797837437628903e-06,1.8996686978892297e-08
483.3667334669339,1.0605148776379027e-12,7.890095698737938e-06,1.8369344816313002e-08
489.3587174348698,5.338727201815118e-13,7.954833226434371e-06,1.776954566274656e-08
495.35070140280567,2.649241519906592e-13,7.99135827984357e-06,1.719577591266497e-08
501.3426853707415,1.2958902862333262e-13,7.999278910898125e-06,1.664662173572457e-08
507.3346693386774,6.248528783780785e-14,7.978509965919493e-06,1.6120761423106856e-08
513.3266533066133,2.9699570828219054e-14,7.929274609588971e-06,1.561695840197168e-08
519.3186372745491,1.3915071144621139e-14,7.852100333169922e-06,1.513405485277434e-08
525.310621242485,6.426633703040219e-15,7.74780954682401e-06,1.4670965871232558e-08
531.3026052104209,2.9257992350093433e-15,7.617504990638261e-06,1.4226674122935711e-08
537.2945891783568,1.3130109725511691e-15,7.462550326239835e-06,1.3800224944071844e-08
543.2865731462927,5.808380348793386e-16,7.284546386608641e-06,1.3390721846600214e-08
549.2785571142285,2.5328215816512117e-16,7.085303662339332e-06,1.2997322390496134e-08
555.2705410821644,1.0887220212125179e-16,6.866811685170973e-06,1.2619234389509274e-08
561.2625250501003,4.613093692079326e-17,6.631206031801601e-06,1.225571242026599e-08
567.2545090180361,1.926772333930365e-17,6.380733711308419e-06,1.1906054607560902e-08
573.2464929859719,7.93288917150688e-18,6.117717717183202e-06,1.1569599661368882e-08
579.2384769539078,3.2195504192540074e-18,5.844521520163069e-06,1.1245724143504046e-08
585.2304609218437,1.288018002281824e-18,5.563514251572883e-06,1.0933839943991074e-08
591.2224448897796,5.079389233871141e-19,5.277037280410377e-06,1.0633391949126901e-08
597.2144288577155,1.9745308056387057e-19,4.987372823150825e-06,1.0343855884922413e-08
603.2064128256513,7.566223956565998e-20,4.6967151460060994e-06,1.0064736321147936e-08
609.1983967935872,2.857967783989903e-20,4.407144828322851e-06,9.79556482258239e-09
615.1903807615231,1.0641389127899027e-20,4.120606456385218e-06,9.53589823530222e-09
621.182364729459,3.905729650216915e-21,3.838890012651586e-06,9.285317096957349e-09
627.1743486973949,1.4130869688609318e-21,3.5636161199281586e-06,9.043424160981836e-09
633.1663326653307,5.03962779900437e-22,3.2962251965299926e-06,8.809843025588113e-09
639.1583166332666,1.771702887238425e-22,3.037970480189161e-06,8.584216859206475e-09
645.1503006012025,6.139686294940874e-23,2.7899147880487883e-06,8.366207214765387e-09
651.1422845691383,2.0973182160453768e-23,2.552930799783418e-06,8.155492925871434e-09
657.1342685370741,7.062286547844008e-24,2.3277045824541436e-06,7.951769078547375e-09
663.12625250501,2.3441705165093684e-24,2.1147420203473235e-06,7.754746052730346e-09
669.1182364729459,7.67000986519402e-25,1.9143777714215795e-06,7.564148628223962e-09
675.1102204408818,2.4738052356683687e-25,1.72678634423975e-06,7.379715150245053e-09
681.1022044088177,7.864985834832887e-26,1.5519948750439581e-06,7.201196750110808e-09
687.0941883767536,2.4648656002752662e-26,1.3898971831668192e-06,7.02835661698067e-09
693.0861723446894,7.614675516644098e-27,1.240268693120234e-06,6.860969316902185e-09
699.0781563126253,2.3188487270881347e-27,1.1027818320386626e-06,6.698820155714982e-09
705.0701402805612,6.960754114475655e-28,9.770215400438334e-07,6.541704582644971e-09
711.0621242484971,2.059695529338472e-28,8.625005667852106e-07,6.389427631673868e-09
717.054108216433,6.007760602173975e-29,7.586742680913015e-07,6.2418033980005224e-09
723.0460921843688,1.7273687932897507e-29,6.649546605623797e-07,6.098654547121371e-09
729.0380761523047,4.8957629211251405e-30,5.807235373551212e-07,5.959811854250246e-09
735.0300601202405,1.3677872367288141e-30,5.053444938046747e-07,5.825113771974245e-09
741.0220440881764,3.766860816688676e-31,4.381737555324455e-07,5.694406024203589e-09
747.0140280561122,1.0225945149384238e-31,3.7856974314176314e-07,5.5675412246215975e-09
753.0060120240481,2.736466922178948e-32,3.259013455796161e-07,5.444378517976011e-09
758.997995991984,7.218381069946163e-33,2.79554908045443e-07,5.324783242677634e-09
764.9899799599199,1.876948111440344e-33,2.3893996949093806e-07,5.208626613286093e-09
770.9819639278558,4.810913922010589e-34,2.0349380902780468e-07,5.095785421567395e-09
776.9739478957916,1.2155302322459586e-34,1.7268487988930598e-07,4.986141754904393e-09
782.9659318637275,3.0273790556903385e-35,1.460152240937129e-07,4.879582730929714e-09
788.9579158316634,7.432427777038654e-36,1.2302197089371997e-07,4.776000247332385e-09
794.9498997995993,1.7986946880024462e-36,1.0327802783909127e-07,4.6752907458644465e-09
800.9418837675352,4.290886876078804e-37,8.639207528667661e-08,4.577354989642995e-09
806.933867735471,1.0090194472198774e-37,7.200797397303049e-08,4.482097852907035e-09
812.9258517034069,2.3389173036191278e-38,5.980369135804344e-08,4.389428122447279e-09
818.9178356713428,5.344327400266722e-39,4.948984639483417e-08,4.2992583099814724e-09
824.9098196392786,1.2037439106633347e-39,4.080796470680514e-08,4.211504474798046e-09
830.9018036072144,2.6726248939404985e-40,3.352852734975877e-08,4.126086056037219e-09
836.8937875751503,5.849311824120359e-41,2.744888685287463e-08,4.042925714021777e-09
842.8857715430862,1.2619274789276483e-41,2.2391114461246168e-08,3.961949180089288e-09
848.8777555110221,2.6836562077016765e-42,1.8199832780238325e-08,3.883085114414473e-09
854.869739478958,5.625773201711786e-43,1.4740078623481823e-08,3.80626497134439e-09
860.8617234468938,1.1625199624523591e-43,1.1895232007742044e-08,3.7314228718007996e-09
866.8537074148297,2.3679987950798696e-44,9.565039078551916e-09,3.6584954823332853e-09
872.8456913827656,4.7547248898122886e-45,7.663749397879022e-09,3.5874219004339185e-09
878.8376753507015,9.4109218868628e-46,6.118381540637048e-09,3.518143545749539e-09
884.8296593186374,1.8361231337455924e-46,4.867125352395209e-09,3.45060405685108e-09
890.8216432865732,3.5312974010108003e-47,3.8578845052363305e-09,3.3847491932412545e-09
896.8136272545091,6.694677269168708e-48,3.046959115367402e-09,3.3205267423020977e-09
902.805611222445,1.2510879910638073e-48,2.3978650981712346e-09,3.2578864309027426e-09
908.7975951903808,2.304670928859607e-49,1.880284563572713e-09,3.196779841405387e-09
914.7895791583167,4.1849748320127026e-50,1.4691398180726369e-09,3.137160331823636e-09
920.7815631262525,7.49099722245429e-51,1.143782356808638e-09,3.0789829599027815e-09
926.7735470941884,1.3217498815962768e-51,8.87287516517751e-10,3.022204410905595e-09
932.7655310621243,2.2989090128698148e-52,6.858451379892536e-10,2.9667829289005756e-09
938.7575150300602,3.9414601891530324e-53,5.282365791236179e-10,2.9126782513618708e-09
944.749498997996,6.66124434144483e-54,4.0538865815223253e-10,2.859851546901593e-09
950.7414829659319,1.1097277417442866e-54,3.09995529475283e-10,2.808265355966075e-09
956.7334669338678,1.8223860412736027e-55,2.362000484232069e-10,2.7578835343375687e-09
962.7254509018037,2.9500350511425157e-56,1.7932682051982125e-10,2.7086711992923733e-09
968.7174348697396,4.7073536912847764e-57,1.3565981775213816e-10,2.6605946782750848e-09
974.7094188376755,7.404390991954977e-58,1.022581484289011e-10,2.6136214599569025e-09
980.7014028056113,1.1480603430570832e-58,7.680426455562086e-11,2.567720147553633e-09
986.6933867735472,1.7547002823255107e-59,5.7479563267354847e-11,2.5228604142861737e-09
992.685370741483,2.64365047353611e-60,4.2862973835616974e-11,2.479012960873057e-09
998.6773547094189,3.926159896222487e-61,3.1848710503266647e-11,2.436149474950902e-09
1004.6693386773547,5.747709221515966e-62,2.3579908851284264e-11,2.3942425923245553e-09
1010.6613226452906,8.294390036412237e-63,1.739534735984524e-11,2.3532658599542712e-09
1016.6533066132265,1.1798776577048832e-63,1.2786886299729678e-11,2.313193700592431e-09
1022.6452905811624,1.6544450966529857e-64,9.365634738268026e-12,2.2740013789872565e-09
1028.6372745490983,2.286812725628147e-65,6.8351861013563555e-12,2.2356649695754865e-09
1034.629258517034,3.115815258115502e-66,4.970547010467557e-12,2.198161325590357e-09
1040.62124248497,4.184809161213563e-67,3.6016270739561447e-12,2.161468049515205e-09
1046.6132264529058,5.54041727115038e-68,2.6003632140478386e-12,2.125563464816877e-09
1052.6052104208418,7.230563586689367e-69,1.870725213573479e-12,2.0904265888966396e-09
1058.5971943887776,9.301750443291842e-70,1.3409935851995372e-12,2.0560371071997145e-09
1064.5891783567135,1.1795601070114096e-70,9.578204730427523e-13,2.022375348427645e-09
1070.5811623246493,1.4744781029917403e-71,6.816826579567294e-13,1.9894222608007585e-09
1076.5731462925853,1.8168515225176886e-72,4.834160777019532e-13,1.957159389320707e-09
1082.565130260521,2.2068021865533585e-73,3.415864616146276e-13,1.9255688539858004e-09
1088.557114228457,2.642227647930971e-74,2.405032356207368e-13,1.8946333289142103e-09
1094.5490981963928,3.1184581369233113e-75,1.6872596168286435e-13,1.8643360223326128e-09
1100.5410821643288,3.6280433083630183e-76,1.1794610823523891e-13,1.834660657389895e-09
1106.5330661322646,4.160714013219802e-77,8.21534929733593e-14,1.8055914537577585e-09
1112.5250501002006,4.703553921518727e-78,5.701763059048955e-14,1.7771131099819233e-09
1118.5170340681364,5.2413993116666866e-79,3.943056618394984e-14,1.7492107865495581e-09
1124.5090180360721,5.757463934190128e-80,2.7170496530011684e-14,1.7218700896402566e-09
1130.5010020040081,6.234161712741214e-81,1.8655326382344364e-14,1.6950770555295694e-09
1136.4929859719439,6.654076042451255e-82,1.2762884610897658e-14,1.668818135615657e-09
1142.4849699398799,7.001003815722721e-83,8.700326456514415e-15,1.6430801820410624e-09
1148.4769539078156,7.260988144842552e-84,5.909666447418922e-15,1.6178504338830602e-09
1154.4689378757516,7.423248507309403e-85,3.9997339500307515e-15,1.5931165038872975e-09
1160.4609218436874,7.480922062317615e-86,2.697366467197002e-15,1.568866365720727e-09
1166.4529058116234,7.431545128357851e-87,1.812548009486453e-15,1.5450883417209742e-09
1172.4448897795592,7.277227755217187e-88,1.2136118205724017e-15,1.5217710911204409e-09
1178.4368737474952,7.024504154542882e-89,8.09675114983731e-16,1.4989035987244442e-09
1184.428857715431,6.683873761681384e-90,5.382480933504076e-16,1.4764751640237572e-09
1190.420841683367,6.269077842896526e-91,3.5652905101947243e-16,1.454475390722778e-09
1196.4128256513027,5.7961810787994895e-92,2.353141596725834e-16,1.432894176665552e-09
1202.4048096192387,5.282543546000734e-93,1.547540107435844e-16,1.4117217041426128e-09
1208.3967935871744,4.74577435716242e-94,1.0140899541266915e-16,1.390948430562507e-09
1214.3887775551102,4.202753742899072e-95,6.621429543610292e-17,1.3705650794725546e-09
1220.3807615230462,3.668796815726305e-96,4.307921279316996e-17,1.3505626319141752e-09
1226.372745490982,3.157012023574558e-97,2.792701187457916e-17,1.3309323180987711e-09
1232.364729458918,2.6778834426409313e-98,1.8039391975694463e-17,1.3116656093907885e-09
1238.3567134268537,2.2390818147791705e-99,1.1610743630072466e-17,1.2927542105852518e-09
1244.3486973947897,1.8454875261371141e-100,7.446271906762821e-18,1.2741900524675974e-09
1250.3406813627255,1.499391774672026e-101,4.758372757908367e-18,1.2559652846442101e-09
1256.3326653306615,1.20083128145095e-102,3.029833372089124e-18,1.2380722686326066e-09
1262.3246492985973,9.480073836841705e-104,1.9222937052856384e-18,1.2205035712006922e-09
1268.3166332665332,7.377416551957684e-105,1.2152383251054953e-18,1.203251957945001e-09
1274.308617234469,5.659261346525467e-106,7.65497692262117e-19,1.1863103870982933e-09
1280.300601202405,4.279352417129861e-107,4.804708327759073e-19,1.1696720035572896e-09
1286.2925851703408,3.1897688685580657e-108,3.0049059687779707e-19,1.153330133121773e-09
1292.2845691382765,2.34370655929186e-109,1.87255877769003e-19,1.1372782769366214e-09
1298.2765531062125,1.6975012957895304e-110,1.162735000067787e-19,1.121510106128766e-09
1304.2685370741483,1.2119364629845486e-111,7.193938937252678e-20,1.1060194566313853e-09
1310.2605210420843,8.529281505074092e-113,4.4349983584535216e-20,1.0908003241879743e-09
1316.25250501002,5.917086296686579e-114,2.724337411592423e-20,1.075846859529289e-09
1322.244488977956,4.046375819322834e-115,1.6675122762766223e-20,1.061153363716428e-09
1328.2364729458918,2.7276421242817225e-116,1.0169928511634702e-20,1.046714283643627e-09
1334.2284569138278,1.8124724737023803e-117,6.180270373990219e-21,1.0325242076946059e-09
1340.2204408817636,1.1871847492976751e-118,3.7422928041005185e-21,1.0185778615465864e-09
1346.2124248496996,7.665280590323562e-120,2.2579211347721046e-21,1.004870104116328e-09
1352.2044088176353,4.878661246769235e-121,1.3574395157002785e-21,9.913959236427925e-10
1358.1963927855713,3.060808289568637e-122,8.131542216335756e-22,9.781504339012479e-10
1364.188376753507,1.89292955800475e-123,4.853623327164053e-22,9.65128870543878e-10
1370.180360721443,1.1539729673729183e-124,2.886688566196103e-22,9.523265875621203e-10
1376.1723446893789,6.934572235281076e-126,1.7107025766313811e-22,9.397390538662093e-10
1382.1643286573146,4.1077743260192875e-127,1.0101591491079899e-22,9.273618499775408e-10
1388.1563126252506,2.398591744526391e-128,5.943548465493456e-23,9.151906648296878e-10
1394.1482965931864,1.3806034414158477e-129,3.484516536282233e-23,9.032212926740572e-10
1400.1402805611224,7.833294007763122e-131,2.03554152296441e-23,8.914496300863274e-10
1406.1322645290581,4.381095917845774e-132,1.1848356601484845e-23,8.798716730700048e-10
1412.1242484969941,2.4153715938508486e-133,6.871902391357655e-24,8.684835142535286e-10
1418.11623246493,1.3126471681615907e-134,3.971335355752858e-24,8.572813401775521e-10
1424.108216432866,7.031936108569901e-136,2.2868456706610397e-24,8.462614286691295e-10
1430.1002004008017,3.713339735736463e-137,1.3121330248737843e-24,8.354201462996841e-10
1436.0921843687377,1.932935277451807e-138,7.501698238833965e-25,8.247539459237484e-10
1442.0841683366734,9.91819855646026e-140,4.273483476171059e-25,8.142593642956011e-10
1448.0761523046094,5.016619281301837e-141,2.4257452096525077e-25,8.039330197610231e-10
1454.0681362725452,2.5012226125865534e-142,1.3719840118130546e-25,7.937716100215183e-10
1460.060120240481,1.2292958294791106e-143,7.732031828119251e-26,7.837719099684344e-10
1466.052104208417,5.955569934152752e-145,4.341891137998864e-26,7.739307695845409e-10
1472.0440881763527,2.844153999197827e-146,2.429433089496036e-26,7.642451119106933e-10
1478.0360721442887,1.3388926138887936e-147,1.3544771067681103e-26,7.54711931075315e-10
1484.0280561122245,6.212998405703492e-149,7.524525361445216e-27,7.453282903845263e-10
1490.0200400801605,2.841970707025881e-150,4.165117583440945e-27,7.360913204708117e-10
1496.0120240480962,1.2814474786194582e-151,2.2972916649961492e-27,7.269982174982187e-10
1502.0040080160322,5.695670843632731e-153,1.2625416737647304e-27,7.180462414221378e-10
1507.995991983968,2.4954669023041314e-154,6.9137874203231145e-28,7.092327143018159e-10
1513.987975951904,1.077758864773186e-155,3.772480787223335e-28,7.005550186637858e-10
1519.9799599198398,4.588325841380985e-157,2.0510618930475567e-28,6.920105959145058e-10
1525.9719438877758,1.9255276471260516e-158,1.1111462112743471e-28,6.835969448005324e-10
1531.9639278557115,7.965409801444956e-160,5.997971092388764e-29,6.75311619914638e-10
1537.9559118236475,3.248099676160244e-161,3.2261030928545635e-29,6.67152230246321e-10
1543.9478957915833,1.3056098890599753e-162,1.728991385206372e-29,6.591164377752402e-10
1549.939879759519,5.1732131423520625e-164,9.233112599658587e-30,6.512019561061342e-10
1555.931863727455,2.0205526533582617e-165,4.912970416968496e-30,6.434065491438556e-10
1561.9238476953908,7.779341393006752e-167,2.6048389720110854e-30,6.35728029807197e-10
1567.9158316633268,2.9524214229327514e-168,1.376126402643312e-30,6.281642587802284e-10
1573.9078156312626,1.1045279846424797e-169,7.243967422460212e-31,6.207131432999223e-10
1579.8997995991986,4.0732208504159724e-171,3.799577999534757e-31,6.133726359788759e-10
1585.8917835671343,1.4806828673555072e-172,1.9857974780018897e-31,6.061407336619944e-10
1591.8837675350703,5.3057771248448975e-174,1.0341302923279584e-31,5.990154763160297e-10
1597.875751503006,1.8741261191079592e-175,5.366069332425469e-32,5.919949459509206e-10
1603.867735470942,6.5254652654315905e-177,2.7744571011622256e-32,5.850772655718995e-10
1609.8597194388778,2.239685353281929e-178,1.4293561782324046e-32,5.78260598161397e-10
1615.8517034068138,7.577490422143572e-180,7.337424186189891e-33,5.715431456897735e-10
1621.8436873747496,2.527124516092904e-181,3.7530772646974365e-33,5.649231481539763e-10
1627.8356713426856,8.307890129110815e-183,1.9128111663981206e-33,5.583988826432273e-10
1633.8276553106214,2.692264387412996e-184,9.71398449870748e-34,5.519686624308912e-10
1639.8196392785571,8.6001797265349e-186,4.915451648594064e-34,5.456308360917003e-10
1645.8116232464931,2.7080719983755286e-187,2.4783929526659303e-34,5.393837866435367e-10
1651.803607214429,8.405735972996986e-189,1.2451383719938807e-34,5.332259307130128e-10
1657.795591182365,2.571900371330035e-190,6.233124241223488e-35,5.271557177240967e-10
1663.7875751503007,7.757028666034023e-192,3.109099812066753e-35,5.211716291090792e-10
1669.7795591182366,2.3062135009173447e-193,1.5452695976138723e-35,5.152721775411835e-10
1675.7715430861724,6.758751558338999e-195,7.652697919946114e-36,5.094559061881559e-10
1681.7635270541084,1.9525236987390443e-196,3.776292233869564e-36,5.037213879861875e-10
1687.7555110220442,5.560181950060356e-198,1.8567666844072515e-36,4.980672249335512e-10
1693.7474949899802,1.5607902805383608e-199,9.096823937571579e-37,4.924920474033471e-10
1699.739478957916,4.318798669593242e-201,4.440817832471687e-37,4.869945134747802e-10
1705.731462925852,1.1779971087585177e-202,2.1601148466532906e-37,4.815733082824039e-10
1711.7234468937877,3.167293786356378e-204,1.0469632561784745e-37,4.762271433827946e-10
1717.7154308617235,8.394509629768329e-206,5.056229207362349e-38,4.70954756138123e-10
1723.7074148296595,2.19313402706394e-207,2.4331158092582336e-38,4.657549091161254e-10
1729.6993987975952,5.648041423993092e-209,1.166647145584275e-38,4.606263895059792e-10
1735.6913827655312,1.433816031810037e-210,5.573871851724126e-39,4.555680085496103e-10
1741.683366733467,3.5879951671227515e-212,2.6534759224350638e-39,4.5057860098797525e-10
1747.675350701403,8.850608396403948e-214,1.2586762495300355e-39,4.4565702452187355e-10
1753.6673346693387,2.1520742942289474e-215,5.949132452541385e-40,4.4080215928686585e-10
1759.6593186372747,5.158272168332991e-217,2.8017795026983445e-40,4.360129073418771e-10
1765.6513026052105,1.2187485308261808e-218,1.3147857362804438e-40,4.312881921710904e-10
1771.6432865731465,2.8384863865948496e-220,6.147757505944026e-41,4.266269581987394e-10
1777.6352705410823,6.516619817853218e-222,2.8643045190847215e-41,4.22028170316427e-10
1783.6272545090183,1.4747581761056451e-223,1.3297266177660794e-41,4.174908134226034e-10
1789.619238476954,3.289895467511981e-225,6.151007422694853e-42,4.130138919738572e-10
1795.61122244489,7.234462070106889e-227,2.8351161410701235e-42,4.085964295476743e-10
1801.6032064128258,1.568170384020605e-228,1.3020755161999676e-42,4.0423746841633975e-10
1807.5951903807616,3.3507583608433094e-230,5.95857219103609e-43,3.999360691316585e-10
1813.5871743486975,7.057580342896765e-232,2.7169957107992197e-43,3.956913101201934e-10
1819.5791583166333,1.4653164001069814e-233,1.2344582739567039e-43,3.915022872887144e-10
1825.5711422845693,2.9989543051603154e-235,5.588620141350709e-44,3.87368113639574e-10
1831.563126252505,6.050219698887023e-237,2.5210036995211784e-44,3.832879188957273e-10
1837.555110220441,1.2031930113330413e-238,1.1331387438536739e-44,3.7926084913512384e-10
1843.5470941883768,2.358643558828051e-240,5.074969186815932e-45,3.752860664342116e-10
1849.5390781563128,4.557767711139679e-242,2.2647717809547383e-45,3.713627485202927e-10
1855.5310621242486,8.681702881440952e-244,1.0070619681818025e-45,3.674900884324902e-10
1861.5230460921846,1.6301235010774402e-245,4.4619906897088305e-46,3.636672941910808e-10
1867.5150300601204,3.0171642774110744e-247,1.9698893810559096e-46,3.598935884749662e-10
1873.5070140280563,5.504783768685054e-249,8.665542030507024e-47,3.5616820830705463e-10
1879.498997995992,9.900210530553737e-251,3.7983094297708717e-47,3.5249040474733756e-10
1885.4909819639279,1.7551387492318154e-252,1.658920847778053e-47,3.488594425934478e-10
1891.4829659318639,3.067194646750194e-254,7.219409937832004e-48,3.452746000884952e-10
1897.4749498997996,5.283650461117488e-256,3.130534220791197e-48,3.417351686359837e-10
1903.4669338677356,8.972008565452848e-258,1.3526203679638118e-48,3.382404525216116e-10
1909.4589178356714,1.5017863009778937e-259,5.823366244698419e-49,3.347897686417736e-10
1915.4509018036074,2.477932409771428e-261,2.498118302805849e-49,3.313824462385806e-10
1921.4428857715432,4.0302652706384895e-263,1.0678066287235451e-49,3.280178266412232e-10
1927.4348697394792,6.461608884290338e-265,4.547921275353361e-50,3.24695263013506e-10
1933.426853707415,1.0211994222696994e-266,1.9300740825883253e-50,3.2141412010738984e-10
1939.418837675351,1.590901577586883e-268,8.161608043199217e-51,3.181737740223803e-10
1945.4108216432867,2.4430869460796386e-270,3.4388893649736524e-51,3.149736119706077e-10
1951.4028056112227,3.698259593448764e-272,1.4437812204459485e-51,3.1181303204744374e-10
1957.3947895791584,5.518470438427255e-274,6.03983796609831e-52,3.0869144300751595e-10
