GRB Source Mass (Solar Masses),Schwarzschild Radius (m),Quantum Tunneling Time w/ Planck Corrections (s),Corrected White Hole Burst Energy (erg)
15,44311.89832583108,inf,
20,59082.5311011081,inf,
40,118165.0622022162,inf,
50,147706.32775277027,inf,
