GRB Source Mass (Solar Masses),White Hole Radius (m),Vacuum Energy Contribution (erg)
15,110779.74581457769,21761869030771.613
20,147706.32775277024,51583689554421.59
40,295412.6555055405,412669516435372.75
50,369265.8193819257,805995149287838.0
