Black Hole Name,Mass (Solar Masses),Distance from Earth (Light-Years),Projected White Hole Distance (m),Projected White Hole Distance (AU),Projected White Hole Distance (Light-Years)
Cygnus X-1,21.0,6070,284627.945310795,1.9025932173181482e-06,3.008434048311965e-11
Sagittarius A*,4300000.0,26000,291034966220.2871,1.9454208971944325,3.076154383472013e-05
M87*,6500000000.0,53000000,650799731722995.2,4350.265586383658,0.06878762622587414
V404 Cygni,9.0,7800,88934.55422849469,5.944823143615955e-07,9.400121998572527e-12
GRO J1655-40,6.3,11500,52680.372205661246,3.521415254389121e-07,5.568161104075811e-12
