Multipole Moment (l),CMB-S4 SNR,LISA SGWB SNR,Joint Detectability SNR
10.0,0.014694709815780714,1.3988320682526377e-07,0.014694709816446508
15.991983967935873,0.023059880975450652,6.730730319917187e-14,0.023059880975450652
21.983967935871746,0.03567105606052237,3.764749528422951e-19,0.03567105606052237
27.975951903807616,0.0543923385582513,1.0075460347215722e-23,0.0543923385582513
33.96793587174349,0.08175651192230526,9.861791592676216e-28,0.08175651192230526
39.95991983967936,0.1211350536367713,2.359909133562282e-31,0.1211350536367713
45.95190380761523,0.17692132212091388,1.320201811419842e-34,0.17692132212091388
51.943887775551104,0.254714327852891,1.5256277860236738e-37,0.254714327852891
57.93587174348698,0.36148429395357756,2.6336389482193955e-40,0.36148429395357756
63.92785571142285,0.5056946378265792,5.701257638932817e-43,0.5056946378265792
69.91983967935872,0.6973489050179844,2.546232295750123e-45,0.6973489050179844
75.9118236472946,0.9479267012289717,1.3354505763705796e-47,0.9479267012289717
81.90380761523046,1.270171163049431,7.785556506118502e-50,1.270171163049431
87.89579158316634,1.6776934124232947,9.488928253420484e-52,1.6776934124232947
93.88777555110221,2.1843680140210737,7.499203929330987e-54,2.1843680140210737
99.87975951903809,2.803508494581049,1.2962996768485687e-55,2.803508494581049
105.87174348697395,3.546833508865673,2.353267406878608e-57,3.546833508865673
111.86372745490982,4.42326122134157,4.640840735840593e-59,4.42326122134157
117.8557114228457,5.437599684094245,9.778011728844489e-61,5.437599684094245
123.84769539078157,6.589231016495323,2.0923878144556455e-62,6.589231016495323
129.83967935871743,7.870912692515735,9.500046845229532e-64,7.870912692515735
135.8316633266533,9.267835457663976,2.973340286259631e-65,9.267835457663976
141.8236472945892,10.75707986242732,9.105249565205351e-67,10.75707986242732
147.81563126252507,12.307598771813145,4.963187789784131e-68,12.307598771813145
153.80761523046093,13.88082008832773,2.1322106870065617e-69,13.88082008832773
159.7995991983968,15.43191346851235,9.952417640585833e-71,15.43191346851235
165.79158316633269,16.911701019444127,6.982675561405322e-72,16.911701019444127
171.78356713426854,18.26912147683055,3.6374196019602436e-73,18.26912147683055
177.77555110220442,19.454088784084885,1.762042879985919e-74,19.454088784084885
183.7675350701403,20.42052870730644,1.517705454933241e-75,20.42052870730644
189.75951903807618,21.129339898016294,1.2857243220573016e-76,21.129339898016294
195.75150300601203,21.551015306158256,1.0813168275965977e-77,21.551015306158256
201.7434869739479,21.66767934158927,9.168437466704349e-79,21.66767934158927
207.7354709418838,21.474344849015655,8.006835399001109e-80,21.474344849015655
213.72745490981964,20.979266738516355,7.365438490071635e-81,20.979266738516355
219.71943887775552,20.203357332468645,7.232874714790627e-82,20.203357332468645
225.7114228456914,19.17872112574195,7.552812599603502e-83,19.17872112574195
231.70340681362728,17.946452005949947,8.232076315888118e-84,17.946452005949947
237.69539078156313,16.55390346014185,9.152204225882785e-85,16.55390346014185
243.687374749499,15.051684035073059,1.0182883206031975e-85,15.051684035073059
249.6793587174349,13.490642278319559,1.1195550533832867e-86,13.490642278319559
255.67134268537075,11.919087793879344,1.2075565456848615e-87,11.919087793879344
261.6633266533066,10.380452117877866,1.2731678024150304e-88,10.380452117877866
267.6553106212425,8.911532164061725,2.541065886890371e-89,8.911532164061725
273.6472945891784,7.541389066123356,4.416385633447315e-90,7.541389066123356
279.63927855711427,6.290905677035172,5.859014464204798e-91,6.290905677035172
285.63126252505015,5.172944976207967,6.850973356543267e-92,5.172944976207967
291.62324649298597,4.193005217687094,8.078522358114956e-93,4.193005217687094
297.61523046092185,3.3502391191841316,2.4753646624268746e-93,3.3502391191841316
303.60721442885773,2.638694224812617,3.605404653116379e-94,2.638694224812617
309.5991983967936,2.0486378217015737,4.2638124916604895e-95,2.0486378217015737
315.5911823647295,1.567848752490069,1.1152846674602082e-95,1.567848752490069
321.58316633266537,1.1827855273424623,2.0696494977673432e-96,1.1827855273424623
327.57515030060125,0.8795705859039213,2.5972085544427434e-97,0.8795705859039213
333.5671342685371,0.6447602452492827,7.000226038766936e-98,0.6447602452492827
339.55911823647295,0.46589565989129567,1.354919044366098e-98,0.46589565989129567
345.55110220440883,0.3318500873569626,1.6785787474278261e-99,0.3318500873569626
351.5430861723447,0.23300115104884683,5.993069822535923e-100,0.23300115104884683
357.5350701402806,0.1612638616611997,9.685848135425056e-101,0.1612638616611997
363.5270541082165,0.11002183973348946,1.7192378883250734e-101,0.11002183973348946
369.51903807615236,0.07399180277176098,5.349747561673107e-102,0.07399180277176098
375.5110220440882,0.049051373593374206,6.975850160541498e-103,0.049051373593374206
381.50300601202406,0.03205395307584278,2.8184260267769457e-103,0.03205395307584278
387.49498997995994,0.020647852007946138,4.356462609770637e-104,0.020647852007946138
393.4869739478958,0.013110855151721024,1.4172392128385676e-104,0.013110855151721024
399.4789579158317,0.008206349676969475,2.7387254656760655e-105,0.008206349676969475
405.4709418837676,0.005063279204713472,6.904126568803874e-106,0.005063279204713472
411.46292585170346,0.0030794743625893193,1.7503866917274582e-106,0.0030794743625893193
417.4549098196393,0.0018462230461782341,3.433173217326638e-107,0.0018462230461782341
423.44689378757516,0.0010910749919571308,1.1475546318211375e-107,0.0010910749919571308
429.43887775551104,0.0006356058620490198,1.947795268426675e-108,0.0006356058620490198
435.4308617234469,0.0003649925877487656,7.757817024208072e-109,0.0003649925877487656
441.4228456913828,0.0002066060594115429,1.3983448126645912e-109,0.0002066060594115429
447.4148296593187,0.00011528290793095743,5.405459069540647e-110,0.00011528290793095743
453.40681362725456,6.340881682568657e-05,1.2213052324969926e-110,6.340881682568657e-05
459.3987975951904,3.437931625170387e-05,3.858871911963159e-111,3.437931625170387e-05
465.39078156312627,1.8374167839113522e-05,1.1452444633120736e-111,1.8374167839113522e-05
471.38276553106215,9.680125366343595e-06,2.7964155888723995e-112,9.680125366343595e-06
477.374749498998,5.0270955877102734e-06,1.0616175404574613e-112,5.0270955877102734e-06
483.3667334669339,2.5734525390506245e-06,2.037007781671521e-113,2.5734525390506245e-06
