Time (s),Strain
0.0,-1.0027016690962606e-40
0.054949733089740216,3.553464300068027e-26
0.10989946617948043,-1.5238374292793957e-25
0.16484919926922065,3.28117307091734e-25
0.21979893235896086,-4.0051971094368877e-25
0.2747486654487011,9.096064982524457e-26
0.3296983985384413,3.8210046710708983e-25
0.3846481316281815,-1.0730082722807302e-25
0.4395978647179217,-4.0763819977318724e-25
0.49454759780766194,-5.742504726154136e-26
0.5494973308974022,4.0583514594521776e-25
0.6044470639871424,-1.5965749605418526e-25
0.6593967970768826,1.4730792191777806e-29
0.7143465301666228,-1.682961663437887e-25
0.769296263256363,4.0163185145410357e-25
0.8242459963461033,2.5845878840826163e-25
0.8791957294358435,6.212056774908831e-26
0.9341454625255836,-1.2466767962866393e-25
0.9890951956153239,-3.86552217634224e-25
1.0440449287050642,3.511120716550192e-26
1.0989946617948043,-1.3386594813807303e-25
1.1539443948845445,3.5225942229951495e-25
1.2088941279742849,3.858971183125212e-25
1.263843861064025,3.4479722693904653e-25
1.3187935941537652,3.9350919820571306e-25
1.3737433272435053,-8.362990458594891e-27
1.4286930603332455,2.966704214730267e-25
1.4836427934229859,1.8547586146632335e-25
1.538592526512726,3.7944490246762527e-25
1.5935422596024662,4.0461918518829343e-25
1.6484919926922066,-4.412674515775258e-27
1.7034417257819467,3.7537307822021447e-25
1.758391458871687,4.035277407701831e-25
1.813341191961427,1.054830600661535e-25
1.8682909250511672,1.5727523907538964e-25
1.9232406581409076,-1.8766003464498733e-25
1.9781903912306478,-2.491681048628104e-25
2.033140124320388,-2.874087180239602e-25
2.0880898574101283,-1.7669165194231315e-25
2.1430395904998685,2.2739092632492667e-25
2.1979893235896086,3.9238164024515323e-25
2.252939056679349,-9.245552043214939e-26
2.307888789769089,2.120322391159681e-26
2.362838522858829,-3.9677795725924554e-25
2.4177882559485697,2.3680139646289054e-25
2.47273798903831,3.168426729392208e-25
2.52768772212805,-1.9072667896963424e-25
2.58263745521779,-3.8854449461638645e-25
2.6375871883075304,3.772558062895902e-25
2.6925369213972705,-4.6242750430647405e-26
2.7474866544870107,-3.122733002013394e-25
2.802436387576751,2.671796477479439e-25
2.857386120666491,-2.463969255161155e-26
