Energy Band,Observed RMSE (s),Predicted RMSE (s),Correlation Coefficient (r),Refined RMSE (s)
Low (keV),175.45,160.0,0.98,
Medium (MeV),42.68,35.0,0.91,1.3400215225732177e+23
High (GeV),5.67,8.0,0.99,1.3383666639557217e+23
