Time (s),Observed Photon Flux,Approx. Photon Energy (MeV),Predicted Time Delay (s)
0.0,4.11339132e-08,0.041133913200000004,0.0
0.6864999999999952,4.47169108e-08,0.0447169108,2.2899175135352977e-09
1.4805999999999955,3.81334028e-08,0.0381334028,4.938749993503824e-09
2.295099999999991,3.76679328e-08,0.037667932800000005,7.655629548892757e-09
3.0245000000000033,4.854327e-08,0.04854327,1.008864605926812e-08
3.6769999999999925,4.03160744e-08,0.0403160744,1.2265151780436025e-08
4.375299999999996,4.97692272e-08,0.0497692272,1.4594429857204732e-08
5.023399999999995,4.683447e-08,0.046834469999999996,1.6756258758183953e-08
5.740499999999997,3.87306284e-08,0.0387306284,1.914824688484991e-08
6.524699999999996,4.21546008e-08,0.042154600800000004,2.1764056519393814e-08
7.160200000000003,3.239309148e-08,0.032393091480000004,2.3883856344378094e-08
7.8537000000000035,4.15974964e-08,0.041597496399999996,2.619712334457728e-08
8.582399999999993,3.93614248e-08,0.0393614248,2.8627804906286178e-08
9.338499999999996,4.18327412e-08,0.041832741199999995,3.1149883030079414e-08
10.137,3.458929108e-08,0.03458929108,3.381339233023667e-08
10.92479999999999,3.00379094e-08,0.0300379094,3.6441210272207685e-08
11.627499999999998,4.57986168e-08,0.045798616800000004,3.878516516916512e-08
12.298299999999998,4.3289778e-08,0.043289778,4.1022713119754326e-08
13.0141,3.0793021e-08,0.030793021,4.34103649131827e-08
13.79379999999999,3.60158436e-08,0.0360158436,4.6011164163442664e-08
14.532600000000002,3.04414532e-08,0.0304414532,4.847553569876665e-08
15.252299999999991,3.83971988e-08,0.0383971988,5.0876196491907715e-08
16.08449999999999,3.83166004e-08,0.038316600400000005,5.3652116892146736e-08
16.894999999999996,3.789442e-08,0.037894420000000005,5.6355653883727775e-08
17.598799999999997,3.37052256e-08,0.0337052256,5.8703277985732374e-08
18.2547,3.084929392e-08,0.030849293920000003,6.089112488613706e-08
18.909499999999994,2.851286592e-08,0.02851286592,6.307530258149455e-08
19.71849999999999,2.453336264e-08,0.02453336264,6.577383611164759e-08
20.416799999999995,2.809429536e-08,0.02809429536,6.810311418841629e-08
21.190299999999993,2.667785324e-08,0.02667785324,7.068323246477399e-08
21.942300000000003,3.019182956e-08,0.03019182956,7.319163446066413e-08
22.581699999999998,3.284378392e-08,0.03284378392,7.53244432853611e-08
23.306600000000003,2.762694568e-08,0.02762694568,7.774244941145251e-08
24.032299999999992,3.090155828e-08,0.03090155828,8.016312405030547e-08
24.64399999999999,3.390741936e-08,0.033907419359999996,8.220353562063256e-08
25.340099999999993,2.83329008e-08,0.0283329008,8.45254752873069e-08
