Time,Horizon Radius,Energy Density
1.0,10.0,1.0
1.399879975995199,9.999999999997332,0.8812120250968634
1.799759951990398,9.999999999994662,0.7765343499466166
2.199639927985597,9.999999999991994,0.6842989929819849
2.599519903980796,9.999999999989324,0.6030057606394801
2.999399879975995,9.999999999986654,0.5312262621777414
3.3992798559711943,9.999999999983986,0.46793382699773345
3.799159831966393,9.999999999981316,0.41223798186641974
4.199039807961592,9.999999999978648,0.36328968257623756
4.5989197839567915,9.99999999997598,0.32028131394509773
4.99879975995199,9.99999999997331,0.28244668981638577
5.398679735947189,9.999999999970642,0.2490610530589603
5.798559711942389,9.999999999967972,0.21948226566955778
6.198439687937587,9.999999999965304,0.19335408956291342
6.598319663932786,9.999999999962636,0.17033340757687043
6.998199639927986,9.999999999959966,0.15008225359293742
7.3980796159231845,9.999999999957298,0.13228058682320146
7.797959591918383,9.999999999954628,0.1166262918103276
8.197839567913583,9.99999999995196,0.10283517842755921
8.59771954390878,9.99999999994929,0.09064196958908831
8.99759951990398,9.999999999946622,0.07985743432475836
9.39747949589918,9.999999999943952,0.07034774068213259
9.797359471894378,9.999999999941284,0.06197761555072352
10.197239447889578,9.999999999938614,0.05461875245887789
10.597119423884777,9.999999999935946,0.04814981157377682
10.996999399879975,9.999999999933276,0.04245641970143569
11.396879375875175,9.999999999930608,0.03743117028670406
11.796759351870374,9.99999999992794,0.03298233973081462
12.196639327865572,9.99999999992527,0.029055201673177506
12.596519303860772,9.999999999922602,0.025596205056200402
12.996399279855972,9.999999999919932,0.022554001283558535
13.39627925585117,9.999999999917264,0.01987995875294736
13.796159231846369,9.999999999914595,0.017528162856082535
14.196039207841569,9.999999999911926,0.015455415978699968
14.595919183836767,9.999999999909257,0.013621756653417607
14.995799159831966,9.999999999906588,0.012000603941751425
15.395679135827166,9.999999999903919,0.010571482957785651
15.795559111822364,9.99999999990125,0.00931388977807342
16.19543908781756,9.99999999989858,0.008208371872299806
16.595319063812763,9.999999999895913,0.007236528103281844
16.99519903980796,9.999999999893243,0.006381008726968545
17.39507901580316,9.999999999890575,0.0056255153924408535
17.79495899179836,9.999999999887905,0.0049566388210849875
18.194838967793558,9.999999999885235,0.00436634378419695
18.594718943788756,9.999999999882567,0.0038465115673430843
18.994598919783957,9.999999999879897,0.0033893973548382045
19.394478895779155,9.999999999877229,0.002987655614438197
19.794358871774353,9.999999999874559,0.002634340097339999
20.194238847769554,9.999999999871891,0.0023229038381816086
20.594118823764752,9.999999999869223,0.0020472943740640105
20.99399879975995,9.999999999866553,0.0018035744584182995
21.39387877575515,9.999999999863885,0.0015887086787210766
21.79375875175035,9.999999999861215,0.001399650154966089
22.193638727745547,9.999999999858547,0.0012334965114867396
22.59351870374075,9.999999999855877,0.0010874898769560938
22.993398679735947,9.999999999853209,0.0009590168843868817
23.393278655731145,9.99999999985054,0.0008456086711314914
23.793158631726346,9.999999999847871,0.0007451147467189768
24.193038607721544,9.999999999845201,0.000656321134440499
24.59291858371674,9.999999999842533,0.0005780864125813227
24.992798559711943,9.999999999839863,0.0005092958379496571
25.39267853570714,9.999999999837195,0.0004488807637673904
25.79255851170234,9.999999999834525,0.0003958186396700864
26.19243848769754,9.999999999831857,0.00034913301170698614
26.592318463692738,9.999999999829187,0.0003078935223410096
26.992198439687936,9.99999999982652,0.00027129276086207345
27.392078415683137,9.999999999823851,0.00023891798897025015
27.791958391678335,9.999999999821181,0.00021038183049798147
28.191838367673533,9.999999999818513,0.00018529912404346264
28.591718343668735,9.999999999815845,0.00016329468098307397
28.991598319663932,9.999999999813175,0.00014400328547138158
29.39147829565913,9.999999999810507,0.00012706969444113594
29.79135827165433,9.999999999807837,0.00011214863760327276
30.19123824764953,9.99999999980517,9.890487743696811e-05
30.591118223644727,9.9999999998025,8.710719497645705e-05
30.99099819963993,9.999999999799831,7.666165703124108e-05
31.390878175635127,9.999999999797161,6.745620064253321e-05
31.790758151630325,9.999999999794493,5.9377704209010255e-05
